Email,Name,Department,MealSwipes,Month
erica7298@sfasu.edu,Erica,Physics,472,Oct
dacey@sfasu.edu,Dacey,Mathematics,33,Nov
slade7982@sfasu.edu,Slade,Physics,178,Oct
shaeleigh@sfasu.edu,Shaeleigh,Mathematics,98,Oct
francesca@sfasu.edu,Francesca,CompSci,384,Dec
sybil5264@sfasu.edu,Sybil,EarthSci,259,Oct
kieran@sfasu.edu,Kieran,Chemistry,228,Dec
benedict2917@sfasu.edu,Benedict,CompSci,36,Oct
igor@sfasu.edu,Igor,CompSci,404,Dec
jared@sfasu.edu,Jared,Physics,52,Nov
erica78@sfasu.edu,Erica,Physics,205,Nov
griffin9644@sfasu.edu,Griffin,Nursing,479,Nov
cameran5734@sfasu.edu,Cameran,Chemistry,116,Nov
madeline3807@sfasu.edu,Madeline,Nursing,95,Nov
olga@sfasu.edu,Olga,Biology,68,Nov
adrian2083@sfasu.edu,Adrian,EarthSci,326,Oct
fitzgerald2981@sfasu.edu,Fitzgerald,Biology,234,Oct
merrill4743@sfasu.edu,Merrill,Chemistry,499,Oct
kirsten@sfasu.edu,Kirsten,Mathematics,235,Nov
ivana7854@sfasu.edu,Ivana,CompSci,164,Oct
gregory686@sfasu.edu,Gregory,Chemistry,168,Nov
tanner4748@sfasu.edu,Tanner,CompSci,209,Dec
kuame@sfasu.edu,Kuame,Physics,495,Dec
erica33@sfasu.edu,Erica,Mathematics,439,Oct
colette3671@sfasu.edu,Colette,Mathematics,398,Dec
galvin@sfasu.edu,Galvin,Nursing,71,Nov
ahmed@sfasu.edu,Ahmed,CompSci,14,Oct
kaseem6607@sfasu.edu,Kaseem,Mathematics,62,Dec
raymond9217@sfasu.edu,Raymond,Physics,221,Dec
connor983@sfasu.edu,Connor,Physics,240,Oct
indigo@sfasu.edu,Indigo,EarthSci,3,Nov
yasir@sfasu.edu,Yasir,Mathematics,118,Dec
larissa@sfasu.edu,Larissa,Mathematics,191,Dec
raymond9@sfasu.edu,Raymond,Chemistry,77,Oct
baker@sfasu.edu,Baker,Nursing,189,Nov
ivana@sfasu.edu,Ivana,Biology,436,Dec
marvin@sfasu.edu,Marvin,Biology,177,Nov
leah7839@sfasu.edu,Leah,EarthSci,233,Nov
